作家	09/05/2017 17:47:29
所應	09/05/2017 17:54:30
美地	09/05/2017 17:57:44
那一	10/05/2017 16:44:50
地事	10/05/2017 17:23:14
的話	10/05/2017 17:40:23
一百一	10/05/2017 17:42:01
百一	10/05/2017 17:42:42
手拿	11/05/2017 16:40:36
如蝗	11/05/2017 17:34:44
救你	11/05/2017 17:47:24
曾告	11/05/2017 17:49:37
人看	11/05/2017 22:17:10
人手	11/05/2017 22:24:10
用你	11/05/2017 22:27:14
像對	11/05/2017 22:32:27
小山	11/05/2017 22:39:13
大石	11/05/2017 22:41:58
聖誕節	12/05/2017 16:35:15
人看	15/05/2017 16:18:34
用你	15/05/2017 16:21:38
當天	15/05/2017 16:33:38
是誰	15/05/2017 16:42:38
下到	15/05/2017 17:47:48
俄立和	16/05/2017 14:19:38
跑去	16/05/2017 14:38:08
望而生畏	16/05/2017 14:39:48
而生	16/05/2017 14:40:02
得痊	16/05/2017 18:08:29
得出來	17/05/2017 15:28:11
你回去	17/05/2017 15:28:23
多人	17/05/2017 15:31:06
穿衣	17/05/2017 15:32:42
一口	17/05/2017 15:33:35
正合我意	17/05/2017 16:45:14
出謎語	17/05/2017 17:03:22
出謎	17/05/2017 17:03:58
耕地	17/05/2017 17:08:29
能降	17/05/2017 17:09:10
狐狸尾巴	17/05/2017 17:32:00
擺開陣勢	17/05/2017 17:45:55
用兩	17/05/2017 17:49:06
驢腮骨	17/05/2017 17:52:38
渴死	17/05/2017 17:54:22
離我	18/05/2017 17:37:57
說實話	18/05/2017 17:38:49
想靠	18/05/2017 17:56:44
的話	22/05/2017 11:18:22
人名	23/05/2017 13:30:47
叫瑪	23/05/2017 13:31:28
回娘家	23/05/2017 13:36:37
家去	23/05/2017 13:36:52
再生	23/05/2017 13:39:31
比你	23/05/2017 13:41:51
吃飽	23/05/2017 15:14:29
為難	23/05/2017 15:17:14
直到大		23/05/2017 15:27:55
直到大	23/05/2017 15:28:12
打穀場簸	23/05/2017 15:37:06
去打	23/05/2017 15:37:37
回城去了	23/05/2017 16:01:58
女兒啊	23/05/2017 16:03:30
不想	23/05/2017 16:18:35
眾人說	23/05/2017 16:27:05
在家	23/05/2017 16:31:11
都是	23/05/2017 16:32:19
何弗尼和	23/05/2017 17:20:01
上好	23/05/2017 17:21:46
去禱	23/05/2017 17:25:28
很難	23/05/2017 17:45:05
地告	23/05/2017 18:22:31
於是撒	23/05/2017 23:22:30
幾頭	26/05/2017 7:52:02
沒甚麼	26/05/2017 7:56:45
先到	27/05/2017 11:17:36
