flds,sfld
"我有一些臺灣朋友。<br><br>我有一些台湾朋友。wǒ yǒu yī xiē tái wān péng yǒu<br><br>I have some Taiwanese friends.","我有一些臺灣朋友。我有一些台湾朋友。"
"有的日本人不懂英文。yǒu de rì běn rén bù dǒng yīng wén<br><br>Some Japanese people don't understand English.","有的日本人不懂英文。"
"王伯伯很喜歡孩子。<br><br>王伯伯很喜欢孩子。wáng bó bo hěn xǐ huan hái zi<br><br>Uncle Wang really likes children.","王伯伯很喜歡孩子。王伯伯很喜欢孩子。"
"你的貓叫什麽名字？<br><br>你的猫叫什么名字？nǐ de māo jiào shén me míng zì<br><br>What's your cat's name?","你的貓叫什麽名字？你的猫叫什么名字？"
"張伯伯有兩個兒子，一個女兒。<br><br>张伯伯有两个儿子，一个女儿。zhāng bó bo yǒu liǎng gè er zi yī gè nǚ ér<br><br>Ungle Zhang has two sons and one daughter.","張伯伯有兩個兒子，一個女兒。张伯伯有两个儿子，一个女儿。"
"你是他的學生嗎？<br><br>你是他的学生吗？nǐ shì tā de xué shēng ma<br><br>Are you his student?","你是他的學生嗎？你是他的学生吗？"
"我要學中文。<br><br>我要学中文。wǒ yào xué zhōng wén<br><br>I want to learn Chinese.","我要學中文。我要学中文。"
"我沒有姐姐妹妹。<br><br>我没有姐姐妹妹。wǒ méi yǒu jie jiě mèi mei<br><br>I don't have any sisters.","我沒有姐姐妹妹。我没有姐姐妹妹。"
"我這兩本書。<br><br>我这两本书。wǒ zhè liǎng běn shū<br><br>These two books of mine.","我這兩本書。我这两本书。"
"你那位朋友很忙。nǐ nà wèi péng yǒu hěn máng<br><br>That friend of yours is very busy.","你那位朋友很忙。"
"他那兩個兒子都很喜歡看書。<br><br>他那两个儿子都很喜欢看书。tā nà liǎng gè er zi dōu hěn xǐ huan kàn shū<br><br>Those two kids of his both like to read books.","他那兩個兒子都很喜歡看書。他那两个儿子都很喜欢看书。"
"王先生那輛車很好看。<br><br>王先生那辆车很好看。wáng xiān shēng nà liàng chē hěn hǎo kàn<br><br>That car of Mr. Wang's is very good looking.","王先生那輛車很好看。王先生那辆车很好看。"
"我這三枝筆都不貴。<br><br>我这三枝笔都不贵。wǒ zhè sān zhī bǐ dōu bù guì<br><br>These three pens of mine are all inexpensive.","我這三枝筆都不貴。我这三枝笔都不贵。"
"這個杯子是誰的？<br><br>这个杯子是谁的？zhè ge bēi zi shì sheí de<br><br>Whose cup is this?","這個杯子是誰的？这个杯子是谁的？"
"那些書，有的好看，有的不好看。<br><br>那些书，有的好看，有的不好看。nà xiē shū yǒu de hǎo kàn yǒu de bù hǎo kàn<br><br>Of those books, some are good reads, some are not.","那些書，有的好看，有的不好看。那些书，有的好看，有的不好看。"
"那兩本書，一本好看，一本不好看。<br><br>那两本书，一本好看，一本不好看。nà liǎng běn shū yī běn hǎo kàn yī běn bù hǎo kàn<br><br>Of those two books, one is a good read and the other isn't.","那兩本書，一本好看，一本不好看。那两本书，一本好看，一本不好看。"
"你們渴嗎？<br><br>你们渴吗？nǐ men kě ma<br><br>Are you all thirsty?","你們渴嗎？你们渴吗？"
"你餓不餓？<br><br>你饿不饿？nǐ è bù è<br><br>Are you hungry?","你餓不餓？你饿不饿？"
"請問，您貴姓？<br><br>请问，您贵姓？qǐng wèn nín guì xìng<br><br>May I ask, what's your last (family) name?","請問，您貴姓？请问，您贵姓？"
"很高興認識你。<br><br>很高兴认识你。hěn gāo xìng rèn shi nǐ<br><br>I'm pleased to meet you.","很高興認識你。很高兴认识你。"
"你認識王大年先生嗎？<br><br>你认识王大年先生吗？nǐ rèn shi wáng dà nián xiān shēng ma<br><br>Do you know Mr. Wang Danian?","你認識王大年先生嗎？你认识王大年先生吗？"
"她是張老師。<br><br>她是张老师。tā shì zhāng lǎo shī<br><br>She is teacher Zhang.","她是張老師。她是张老师。"
"我是學生，你是老師。<br><br>我是学生，你是老师。wǒ shì xué shēng nǐ shì lǎo shī<br><br>I'm a student, you're a teacher.","我是學生，你是老師。我是学生，你是老师。"
"王先生是律師。<br><br>王先生是律师。wáng xiān shēng shì lǜ shī<br><br>Mr. Wang is a lawyer.<br><br>","王先生是律師。王先生是律师。"
"她不是老師，她是工程師。<br><br>她不是老师，她是工程师。tā bù shì lǎo shī tā shì gōng chéng shī<br><br>She isn't a teacher, she's an engineer.","她不是老師，她是工程師。她不是老师，她是工程师。"
"張小姐是韓國人嗎？<br><br>张小姐是韩国人吗？zhāng xiǎo jiě shì hán guó rén ma<br><br>Is Miss Zhang Korean?","張小姐是韓國人嗎？张小姐是韩国人吗？"
"李先生是不是工程師？<br><br>李先生是不是工程师？li xiān shēng shì bù shì gōng chéng shī<br><br>Is Mr. Li an engineer?","李先生是不是工程師？李先生是不是工程师？"
"我不是律師，也不是老師，我是工程師。<br><br>我不是律师，也不是老师，我是工程师。wǒ bù shì lǜ shī yě bù shì lǎo shī wǒ shì gōng chéng shī<br><br>I am not a lawyer or a teacher, I'm an engineer.","我不是律師，也不是老師，我是工程師。我不是律师，也不是老师，我是工程师。"
"中文書和英文書，我都愛看。<br><br>中文书和英文书，我都爱看。zhōng wén shū hé yīng wén shū wǒ dōu ài kàn<br><br>I love to read both Chinese and English books.","中文書和英文書，我都愛看。中文书和英文书，我都爱看。"
"電影我喜歡看，可是電視我不喜歡看。<br><br>电影我喜欢看，可是电视我不喜欢看。diàn yǐng wǒ xǐ huan kàn kě shì diàn shì wǒ bù xǐ huan kàn<br><br>I like to watch movies, but I don't like to watch TV.","電影我喜歡看，可是電視我不喜歡看。电影我喜欢看，可是电视我不喜欢看。"
"日本車和德國車我都喜歡，可是都太貴！<br><br>日本车和德国车我都喜欢，可是都太贵！rì běn chē hé dé guó chē wǒ dū xǐ huan kě shì dōu tài guì<br><br>I like both Japanese and German cars, but they are both too expensive!","日本車和德國車我都喜歡，可是都太貴！日本车和德国车我都喜欢，可是都太贵！"
"對不起，我們只賣報紙，不賣書。<br><br>对不起，我们只卖报纸，不卖书。duì bù qǐ wǒ men zhǐ mài bào zhǐ bù mài shū<br><br>Sorry, we only sell newspapers, we don't sell books.","對不起，我們只賣報紙，不賣書。对不起，我们只卖报纸，不卖书。"
"李小姐很愛看書。<br><br>李小姐很爱看书。li xiǎo jiě hěn ài kàn shū<br><br>Miss Li loves to read books.","李小姐很愛看書。李小姐很爱看书。"
"你想看什麽電影？<br><br>你想看什么电影？nǐ xiǎng kàn shén me diàn yǐng<br><br>Which movies do you want to see?","你想看什麽電影？你想看什么电影？"
"德國車很貴，日本車也不便宜。<br><br>德国车很贵，日本车也不便宜。dé guó chē hěn guì rì běn chē yě bù pián yi<br><br>German cars are expensive, Japanese cars aren't cheap either.","德國車很貴，日本車也不便宜。德国车很贵，日本车也不便宜。"
"我只有中文書，沒有日文書。<br><br>我只有中文书，没有日文书。wǒ zhǐ yǒu zhòng wén shū méi yǒu rì wén shū<br><br>I only have Chinese books, I don't have Japanese books.","我只有中文書，沒有日文書。我只有中文书，没有日文书。"
"請問，這是哪國地圖？<br><br>请问，这是哪国地图？qǐng wèn zhè shì nǎ guó dì tú<br><br>May I ask, this is a map of what country?","請問，這是哪國地圖？请问，这是哪国地图？"
"對不起，我不懂英文。<br><br>对不起，我不懂英文。duì bù qǐ wǒ bù dǒng yīng wén<br><br>Sorry, I don't understand English.","對不起，我不懂英文。对不起，我不懂英文。"
"中文書和英文書，我都不賣。<br><br>中文书和英文书，我都不卖。zhōng wén shū hé yīng wén shū wǒ dū bù mài<br><br>I don't sell English books or Chinese books.<br>(Chinese books and English books, I don't sell both.)","中文書和英文書，我都不賣。中文书和英文书，我都不卖。"
"我要買一枝原子筆。<br><br>我要买一枝原子笔。wǒ yào mǎi yī zhī yuán zǐ bǐ<br><br>I want to buy this ballpoint pen.","我要買一枝原子筆。我要买一枝原子笔。"
"這是鉛筆，那是原子筆，你要哪種筆？<br><br>这是铅笔，那是原子笔，你要哪种笔？zhè shì qiān bǐ nà shì yuán zǐ bǐ nǐ yào nǎ zhǒng bǐ<br><br>This is a pencil, that is a ballpoint pen, what kind of pen do you want?","這是鉛筆，那是原子筆，你要哪種筆？这是铅笔，那是原子笔，你要哪种笔？"
"這兩種水果都很新鮮。<br><br>这两种水果都很新鲜。zhè liǎng zhǒng shuǐ guǒ dōu hěn xīn xiān<br><br>These two kinds of fruit are very fresh.","這兩種水果都很新鮮。这两种水果都很新鲜。"
"他要買兩本英文雜誌。<br><br>他要买两本英文杂志。Tā yào mǎi liǎng běn yīng wén zá zhì<br><br>He wants to buy two English magazines.","他要買兩本英文雜誌。他要买两本英文杂志。"
"這兩個法國人都喜歡那輛德國車。<br><br>这两个法国人都喜欢那辆德国车。zhè liǎng gè fà guó rén dōu xǐ huan nà liàng dé guó chē<br><br>These two Frenchmen both like those German cars.","這兩個法國人都喜歡那輛德國車。这两个法国人都喜欢那辆德国车。"
"王先生，歡迎歡迎！請進！<br><br>王先生，欢迎欢迎！请进！wáng xiān shēng huān yíng huān yíng qǐng jìn<br><br>Mr. Wang, welcome welcome! Please come in!","王先生，歡迎歡迎！請進！王先生，欢迎欢迎！请进！"
"這種東西很特別。<br><br>这种东西很特别。zhè zhǒng dōng xi hěn tè bié<br><br>This kind of thing is very special.","這種東西很特別。这种东西很特别。"
"最近西瓜特別甜。zuì jìn xī guā tè bié tián<br><br>Recently watermellons are especially sweet.","最近西瓜特別甜。"
"這種茶的味道真特別。<br><br>这种茶的味道真特别。zhè zhǒng chá de wèi dào zhēn tè bié<br><br>This kind of tea has a really special flavor.","這種茶的味道真特別。这种茶的味道真特别。"
"李小姐做什麽工作？<br><br>李小姐做什么工作？li xiǎo jiě zuò shén me gōng zuò<br><br>What is Miss Li's occupation?","李小姐做什麽工作？李小姐做什么工作？"
"陳老師教什麽？<br><br>陈老师教什么？chén lǎo shī jiào shén me<br><br>What does teacher Chen teach?","陳老師教什麽？陈老师教什么？"
"這些法律太難，我不懂。<br><br>这些法律太难，我不懂。zhè xiē fǎ lǜ tài nán wǒ bù dǒng<br><br>These laws are very difficult, I don't understand them.","這些法律太難，我不懂。这些法律太难，我不懂。"
"中文不難，很容易！<br><br>中文不难，很容易！zhōng wén bù nán hěn róng yì<br><br>Chinese is not difficult, it's very easy!","中文不難，很容易！中文不难，很容易！"
"這輛車很好，一定不便宜。<br><br>这辆车很好，一定不便宜。zhè liàng chē hěn hǎo yī dìng bù pián yi<br><br>This car is really good, it must not be cheap.","這輛車很好，一定不便宜。这辆车很好，一定不便宜。"
"你是律師，一定很聰明。<br><br>你是律师，一定很聪明。nǐ shì lǜ shī yī dìng hěn cōng míng<br><br>You are a lawyer, you must be very smart.","你是律師，一定很聰明。你是律师，一定很聪明。"
"哪裏，你過獎了！<br><br>哪里，你过奖了！nǎ lǐ nǐ guò jiǎng le<br><br>No, no, I'm flattered!<br><br>(哪裏/哪里 'nǎ lǐ', meaning 'where' is used as a polite way to deny compements.  It's as if to say 'where is this good thing you have said?' )","哪裏，你過獎了！哪里，你过奖了！"
"我覺得這種茶的味道真好。<br><br>我觉得这种茶的味道真好。wǒ jué de zhè zhǒng chá de wèi dào zhēn hǎo<br><br>I think that the flavor of this kind of tea is really good.","我覺得這種茶的味道真好。我觉得这种茶的味道真好。"
"我像爸爸。wǒ xiàng bà ba<br><br>I look like my father.","我像爸爸。"
"他們兩個人很像，是兄弟嗎？<br><br>他们两个人很像，是兄弟吗？tā men liǎng gè rén hěn xiàng shén me xiōng dì ma<br><br>Those two guys look very alike, are they brothers?","他們兩個人很像，是兄弟嗎？他们两个人很像，是兄弟吗？"
"這是你的相片嗎？<br><br>这是你的相片吗？zhè shì nǐ de xiàng piàn ma<br><br>Is this your picture?","這是你的相片嗎？这是你的相片吗？"
"你兒子幾嵗？<br><br>你儿子几岁？nǐ ér zi jǐ suì<br><br>How old is your son?","你兒子幾嵗？你儿子几岁？"
